 SName   Trtime       RAsw    Desw    pe  T90   Flu  Flue  P1  Pe
181125A	08:54:39	268.391	-2.634	2.2	10.5	3.3	0.6	1.5	0.3
181123B	05:33:03	184.354	14.619	1.9	0.26	1.2	0.2	1.3	0.3
181110A	08:43:31	302.330	-36.878	1.4	138.4	99	3	3.7	0.3
181103A	04:22:30	197.093	52.220	2.0	8.38	2.8	0.5	0.8	0.2
181030A	01:27:22	146.916	14.657	1.1	304.7	62	3	0.8	0.2
181027A	01:48:59	225.361	30.937	1.1	81.16	28	2	1.2	0.2
181023A	02:04:02	248.322	19.581	2.0	58.0	13	2	1.0	0.3
181022A	17:30:13	56.808	-29.374	2.6	6.74	1.9	0.4	0.4	0.2
181020A	19:00:33	13.987	-47.372	1.0	238.0	81	3	7.7	0.3
181016A	00:55:00	231.273	-35.307	1.8	111.6	19	2	0.7	0.3
181013A	02:39:29	207.661	40.107	3.3	104.1	3.0	1.4	0.5	0.2
181010A	05:55:51	52.574	-23.023	1.4	16.4	6.9	0.7	1.4	0.2
181003A	05:11:03	52.481	-33.991	1.7	21.5	4.2	0.7	0.6	0.1
181002A	11:26:43	64.739	15.248	1.8	63.4	8.8	1.3	0.6	0.2
180930A	12:43:49	76.894	-25.124	2.2	6.80	2.1	0.4	NA	0.2
180925A	14:37:31	315.212	-64.450	1.5	81.70	41	3	3.1	0.6
180924A	15:22:22	49.207	-58.524	1.4	95.1	14	1	0.6	0.1
180905A	13:57:46	91.038	-4.592	1.7	165.3	42	3	1.0	0.3
180904A	21:28:32	274.260	46.640	2.4	5.40	2.4	0.4	0.5	0.2
180828A	18:57:34	268.704	-25.791	1.0	14.0	88	3	17.8	0.9
180823A	19:04:32	210.358	14.901	1.0	80.3	78	2	2.3	0.2
180821A	16:40:34	7.739	-38.612	2.3	64.00	14	3	NA	NA
